"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.980144";"08.07.2018 03:18:14.980345";-11,44609;-6,995165;59,36271;60,87836;-51,96666;-49,33715;-29953,7;-28593,69;46840,75;47200,74;-18607,04;-16887,06
"08.07.2018 03:18:14.980345";"08.07.2018 03:18:14.980545";-15,43974;-11,44609;60,87836;62,16939;-49,33715;-46,90749;-31384,86;-29953,7;46321,09;46840,75;-16887,06;-14936,22
"08.07.2018 03:18:14.980545";"08.07.2018 03:18:14.980745";-21,32878;-15,43974;62,16939;64,13467;-46,90749;-43,33958;-34876,74;-31384,86;45178,74;46321,09;-14936,22;-10301,99
"08.07.2018 03:18:14.980745";"08.07.2018 03:18:14.980946";-23,32796;-21,32878;64,13467;64,81367;-43,33958;-42,07338;-36555,12;-34876,74;44298,88;45178,74;-10301,99;-7743,767
"08.07.2018 03:18:14.980946";"08.07.2018 03:18:14.981146";-25,00505;-23,32796;64,81367;65,24712;-42,07338;-40,79618;-38246,14;-36555,12;43448,85;44298,88;-7743,767;-5202,711
"08.07.2018 03:18:14.981146";"08.07.2018 03:18:14.981347";-26,64544;-25,00505;65,24712;65,37501;-40,79618;-39,17051;-39704,43;-38246,14;42344,13;43448,85;-5202,711;-2639,706
"08.07.2018 03:18:14.981347";"08.07.2018 03:18:14.981547";-30,58995;-26,64544;64,57018;65,37501;-39,17051;-34,02681;-42006,76;-39704,43;40230,08;42344,13;-2639,706;1776,677
"08.07.2018 03:18:14.981547";"08.07.2018 03:18:14.981748";-32,98412;-30,58995;63,71926;64,57018;-34,02681;-30,54965;-42936,36;-42006,76;39134,74;40230,08;1776,677;3801,623
"08.07.2018 03:18:14.981748";"08.07.2018 03:18:14.981948";-35,55149;-32,98412;62,75467;63,71926;-30,54965;-26,79859;-43694,25;-42936,36;38128,21;39134,74;3801,623;5566,049
"08.07.2018 03:18:14.981948";"08.07.2018 03:18:14.982148";-40,70747;-35,55149;61,27438;62,75467;-26,79859;-19,85995;-45102,32;-43694,25;35215,16;38128,21;5566,049;9887,159
"08.07.2018 03:18:14.982148";"08.07.2018 03:18:14.982349";-43,14293;-40,70747;61,03526;61,27438;-19,85995;-17,13632;-45855,77;-45102,32;33599,91;35215,16;9887,159;12255,86
"08.07.2018 03:18:14.982349";"08.07.2018 03:18:14.982549";-45,47511;-43,14293;61,03526;61,11459;-17,13632;-14,9124;-46478,07;-45855,77;31528,5;33599,91;12255,86;14949,56
"08.07.2018 03:18:14.982549";"08.07.2018 03:18:14.982750";-47,74123;-45,47511;61,11459;61,31768;-14,9124;-12,9529;-47092,7;-46478,07;29597,62;31528,5;14949,56;17495,09
